,str0.3_den0.05,str0.03_den0.5,str0.003_den5.0,str0.3_den0.11,str0.03_den1.1,str0.003_den11.0,str0.3_den0.23,str0.03_den2.3000000000000003,str0.003_den23.0,str0.3_den0.5,str0.03_den5.0,str0.003_den50.0,str0.3_den1.08,str0.03_den10.8,str0.003_den108.0,str0.3_den2.32,str0.03_den23.2,str0.003_den231.99999999999997,str0.3_den5.0,str0.03_den50.0,str0.003_den500.0,str0.3_den10.77,str0.03_den107.69999999999999,str0.003_den1077.0,str0.3_den23.21,str0.03_den232.10000000000002,str0.003_den2321.0
202,,,,,,,,,,,,,,,,,,,938.0,,,158.0,672.0,952.0,386.0,257.0,260.0
203,,,,,,,,,,,,,,,,,,,,,,681.0,473.0,960.0,102.0,226.0,279.0
204,,,,,,,,,,,,,,,,,,,,,,245.0,323.0,734.0,122.0,185.0,269.0
205,,,,,,,,,,,,,,,,,,,808.0,,,809.0,679.0,954.0,348.0,229.0,330.0
206,,,,,,,,,,,,,,,,,,,,,,122.0,749.0,1093.0,104.0,288.0,340.0
207,,,,,,,,,,,,,,,,,,,1148.0,,,414.0,551.0,1090.0,223.0,222.0,282.0
208,,,,,,,,,,,,,,,,,,,,1052.0,,726.0,278.0,1018.0,284.0,320.0,292.0
209,,,,,,,,,,,,,,,,,,,,,,302.0,889.0,962.0,196.0,273.0,337.0
210,,,,,,,,,,,,,,,,,,,1079.0,1116.0,,790.0,747.0,830.0,74.0,252.0,254.0
211,,,,,,,,,,,,,,,,,,,,,,430.0,754.0,866.0,173.0,47.0,268.0
212,,,,,,,,,,,,,,,,1066.0,,,153.0,,,378.0,558.0,976.0,243.0,220.0,541.0
213,,,,,,,,,,,,,,,,,,,850.0,,,809.0,410.0,1028.0,123.0,198.0,282.0
214,,,,,,,,,,,,,,,,1154.0,,,1199.0,,,470.0,504.0,580.0,391.0,91.0,331.0
215,,,,,,,,,,,,,,,,,,,847.0,,,210.0,579.0,969.0,152.0,172.0,330.0
216,,,,,,,,,,,,,,,,,,,,968.0,,188.0,677.0,723.0,153.0,263.0,367.0
217,,,,,,,,,,,,,,,,,,,,,,477.0,592.0,1067.0,151.0,171.0,224.0
218,,,,,,,,,,,,,,,,,,,,,,241.0,523.0,660.0,282.0,206.0,290.0
219,,,,,,,,,,,,,,,,,,,1131.0,1110.0,,88.0,702.0,619.0,273.0,198.0,295.0
220,,,,,,,,,,,,,,,,,,,,,,532.0,569.0,797.0,181.0,155.0,282.0
221,,,,,,,,,,,,,,,,,,,1009.0,,,531.0,647.0,1189.0,86.0,179.0,391.0
