,type0_str1,type1_str1,type2_str1,type0_str0.3,type1_str0.3,type2_str0.3,type0_str0.1,type1_str0.1,type2_str0.1,type0_str0.03,type1_str0.03,type2_str0.03,type0_str0.01,type1_str0.01,type2_str0.01,type0_str0.003,type1_str0.003,type2_str0.003,type0_str0.001,type1_str0.001,type2_str0.001
206,60.0,5.0,868.0,11.0,4.0,395.0,153.0,4.0,487.0,30.0,4.0,178.0,5.0,3.0,111.0,4.0,3.0,30.0,5.0,4.0,18.0
207,72.0,4.0,9.0,88.0,4.0,369.0,62.0,4.0,470.0,25.0,4.0,318.0,18.0,3.0,126.0,7.0,4.0,77.0,4.0,3.0,36.0
208,88.0,3.0,300.0,11.0,4.0,333.0,49.0,4.0,341.0,56.0,4.0,90.0,5.0,4.0,52.0,5.0,3.0,57.0,4.0,3.0,44.0
209,269.0,4.0,325.0,122.0,3.0,385.0,51.0,5.0,296.0,24.0,4.0,242.0,38.0,4.0,87.0,13.0,4.0,69.0,4.0,3.0,31.0
210,11.0,3.0,1456.0,67.0,3.0,8.0,99.0,3.0,75.0,57.0,4.0,70.0,19.0,3.0,105.0,6.0,4.0,54.0,3.0,3.0,13.0
211,172.0,3.0,209.0,44.0,3.0,263.0,28.0,4.0,187.0,78.0,3.0,265.0,18.0,4.0,192.0,17.0,4.0,48.0,3.0,3.0,20.0
212,43.0,4.0,627.0,38.0,4.0,164.0,48.0,4.0,311.0,18.0,4.0,230.0,34.0,4.0,171.0,6.0,4.0,18.0,12.0,3.0,22.0
213,149.0,3.0,226.0,60.0,4.0,350.0,20.0,4.0,499.0,32.0,4.0,229.0,18.0,4.0,90.0,4.0,3.0,43.0,4.0,4.0,19.0
214,3.0,4.0,173.0,29.0,4.0,159.0,81.0,4.0,189.0,40.0,4.0,488.0,50.0,4.0,84.0,17.0,3.0,70.0,3.0,3.0,49.0
215,3.0,4.0,193.0,84.0,4.0,582.0,40.0,4.0,473.0,11.0,3.0,212.0,28.0,3.0,116.0,16.0,3.0,48.0,4.0,3.0,18.0
216,33.0,2.0,284.0,48.0,4.0,165.0,6.0,4.0,623.0,32.0,3.0,127.0,40.0,3.0,164.0,5.0,3.0,16.0,5.0,3.0,20.0
217,240.0,3.0,896.0,129.0,3.0,990.0,86.0,3.0,121.0,12.0,4.0,88.0,11.0,3.0,166.0,5.0,4.0,38.0,24.0,3.0,17.0
218,78.0,3.0,612.0,47.0,4.0,271.0,78.0,4.0,169.0,30.0,4.0,191.0,8.0,4.0,85.0,7.0,3.0,83.0,5.0,3.0,9.0
219,7.0,3.0,291.0,18.0,3.0,197.0,131.0,4.0,248.0,20.0,5.0,266.0,21.0,4.0,81.0,12.0,4.0,32.0,5.0,3.0,12.0
