,type0_str1,type1_str1,type2_str1,type0_str0.3,type1_str0.3,type2_str0.3,type0_str0.1,type1_str0.1,type2_str0.1,type0_str0.03,type1_str0.03,type2_str0.03,type0_str0.01,type1_str0.01,type2_str0.01,type0_str0.003,type1_str0.003,type2_str0.003,type0_str0.001,type1_str0.001,type2_str0.001
153,,,145.0,,,19.0,,,226.0,330.0,,72.0,,,587.0,,,1027.0,,,
154,912.0,,52.0,302.0,,53.0,,,132.0,,,784.0,,,371.0,,,,,,
155,,,,288.0,,139.0,646.0,,92.0,,,282.0,,,497.0,,,967.0,,,
156,633.0,,79.0,,,106.0,441.0,,48.0,,,264.0,,,932.0,,,883.0,,,
157,332.0,,26.0,,,726.0,522.0,,206.0,,,605.0,,,680.0,,,605.0,,,
158,,,151.0,,,220.0,992.0,,153.0,,,326.0,,,967.0,,,426.0,,,
159,484.0,,278.0,543.0,,180.0,,,197.0,,,700.0,,,497.0,,,,,,
160,,,67.0,379.0,,42.0,,,423.0,839.0,,233.0,,,413.0,,,989.0,,,
161,,,421.0,595.0,,70.0,438.0,,717.0,504.0,,215.0,,,499.0,,,,,,
162,,,180.0,292.0,,55.0,,,297.0,,,70.0,,,602.0,,,,,,
163,107.0,,96.0,166.0,,867.0,,,203.0,,,386.0,,,124.0,,,,,,1102.0
164,,,88.0,500.0,,33.0,,,20.0,,,212.0,,,535.0,,,1145.0,,,
165,,,445.0,,,217.0,,,305.0,,,45.0,,,193.0,,,,,,
166,211.0,,57.0,,,388.0,45.0,,346.0,,,334.0,,,923.0,,,,,,
167,,,97.0,,,304.0,1062.0,,380.0,615.0,,150.0,,,582.0,,,919.0,,,
168,,,244.0,,,326.0,,,278.0,,,171.0,,,1008.0,,,1090.0,,,
169,251.0,,396.0,,,,,,234.0,550.0,,138.0,,,480.0,,,1135.0,,,
170,,,61.0,387.0,,922.0,683.0,,476.0,310.0,,354.0,,,617.0,,,773.0,,,
171,216.0,,,890.0,,77.0,83.0,,71.0,,,288.0,,,154.0,,,,,,
172,,,119.0,,,889.0,,,41.0,,,356.0,,,679.0,,,,,,
173,,,1042.0,,,345.0,,,138.0,,,37.0,,,734.0,,,,,,
174,96.0,,49.0,,,155.0,621.0,,862.0,,,271.0,,,852.0,,,841.0,,,
175,,,675.0,395.0,,52.0,,,270.0,,,537.0,,,217.0,,,803.0,,,
176,,,42.0,,,99.0,416.0,,62.0,,,140.0,,,747.0,,,,,,
177,1023.0,,69.0,150.0,,426.0,,,50.0,,,365.0,,,543.0,,,,,,
178,,,561.0,948.0,,192.0,,,858.0,,,449.0,,,108.0,,,861.0,,,
179,,,128.0,,,314.0,939.0,,421.0,,,56.0,,,1010.0,,,733.0,,,
180,,,109.0,295.0,,84.0,,,223.0,,,336.0,,,295.0,,,1164.0,,,
181,,,68.0,,,205.0,1162.0,,71.0,,,285.0,,,284.0,,,743.0,,,
182,1161.0,,826.0,419.0,,24.0,,,219.0,,,41.0,,,828.0,,,553.0,,,
183,238.0,,93.0,,,246.0,,,202.0,,,449.0,,,333.0,,,,,,
184,,,110.0,,,47.0,402.0,,48.0,640.0,,377.0,,,798.0,,,,,,
185,,,842.0,1158.0,,155.0,1155.0,,302.0,,,122.0,,,643.0,,,,,,
186,,,49.0,,,287.0,,,183.0,,,125.0,,,510.0,,,909.0,,,
187,465.0,,391.0,,,109.0,48.0,,673.0,526.0,,204.0,,,728.0,,,423.0,,,
188,,,50.0,,,666.0,,,23.0,,,708.0,,,576.0,,,,,,
189,674.0,,98.0,,,224.0,,,364.0,898.0,,746.0,,,281.0,,,,,,
190,493.0,,33.0,671.0,,249.0,,,174.0,,,240.0,,,896.0,,,1134.0,,,
191,267.0,,660.0,,,42.0,,,658.0,,,386.0,,,702.0,,,539.0,,,
192,595.0,,88.0,,,199.0,,,498.0,,,370.0,,,256.0,,,,,,
193,969.0,,86.0,457.0,,51.0,545.0,,84.0,,,557.0,,,464.0,,,856.0,,,
194,,,95.0,,,288.0,,,807.0,,,227.0,,,644.0,,,,,,
195,,,60.0,,,80.0,,,142.0,,,89.0,,,428.0,,,1053.0,,,
196,,,229.0,1144.0,,140.0,938.0,,381.0,,,28.0,,,181.0,,,1052.0,,,
197,,,141.0,,,415.0,,,86.0,,,516.0,,,312.0,,,,,,1030.0
198,1150.0,,783.0,,,29.0,,,144.0,,,127.0,,,828.0,,,855.0,,,
199,551.0,,72.0,920.0,,634.0,455.0,,36.0,,,626.0,,,936.0,,,,,,
200,,,,,,129.0,,,597.0,1049.0,,628.0,,,80.0,,,498.0,,,
201,394.0,,53.0,,,19.0,501.0,,282.0,,,172.0,,,359.0,,,,,,
202,,,75.0,681.0,,57.0,,,103.0,,,115.0,,,470.0,,,,,,
203,124.0,,34.0,459.0,,130.0,655.0,,139.0,,,154.0,,,202.0,,,,,,
204,,,804.0,,,132.0,674.0,,116.0,,,287.0,,,267.0,,,319.0,,,
205,816.0,,272.0,621.0,,57.0,1025.0,,34.0,,,181.0,,,314.0,,,,,,
206,519.0,,544.0,,,715.0,598.0,,217.0,,,359.0,,,268.0,,,,,,
207,521.0,,,875.0,,214.0,692.0,,308.0,,,430.0,,,329.0,,,791.0,,,
208,153.0,,60.0,,,219.0,,,56.0,1168.0,,274.0,,,1196.0,,,1144.0,,,
209,356.0,,186.0,1064.0,,527.0,1035.0,,59.0,,,455.0,,,801.0,,,916.0,,,
210,,,201.0,595.0,,,926.0,,729.0,901.0,,169.0,,,755.0,,,1123.0,,,
211,733.0,,128.0,,,69.0,,,91.0,204.0,,433.0,,,522.0,,,,,,
212,,,31.0,,,502.0,,,637.0,,,153.0,,,545.0,,,,,,
213,163.0,,138.0,1170.0,,489.0,,,29.0,,,324.0,,,664.0,,,,,,
214,,,604.0,,,326.0,54.0,,221.0,,,178.0,,,267.0,,,1069.0,,,
215,,,644.0,1006.0,,34.0,,,40.0,,,109.0,,,556.0,,,,,,
216,,,85.0,,,640.0,,,337.0,,,554.0,,,231.0,,,,,,
217,455.0,,12.0,646.0,,93.0,720.0,,150.0,,,121.0,,,306.0,,,,,,
218,589.0,,301.0,,,351.0,272.0,,425.0,,,88.0,,,1069.0,,,1071.0,,,
219,,,203.0,,,271.0,873.0,,586.0,,,358.0,,,1054.0,,,,,,
220,,,,,,1194.0,,,538.0,,,151.0,,,189.0,,,,,,
221,,,55.0,,,139.0,,,65.0,,,364.0,,,189.0,,,,,,
222,,,173.0,797.0,,111.0,,,455.0,,,1084.0,,,364.0,,,688.0,,,
223,180.0,,64.0,49.0,,49.0,,,58.0,,,61.0,,,578.0,,,1136.0,,,
224,,,225.0,,,92.0,441.0,,103.0,708.0,,602.0,,,314.0,,,,,,1100.0
225,,,86.0,,,970.0,,,252.0,,,172.0,,,747.0,,,663.0,,,
226,,,326.0,,,483.0,,,26.0,298.0,,305.0,,,613.0,,,1192.0,,,
227,,,110.0,,,156.0,631.0,,472.0,460.0,,48.0,,,585.0,,,,,,
228,,,52.0,,,70.0,515.0,,152.0,,,261.0,,,188.0,,,1193.0,,,
229,,,169.0,,,435.0,,,44.0,,,138.0,,,655.0,,,936.0,,,
230,384.0,,73.0,,,51.0,768.0,,102.0,708.0,,496.0,,,,,,,,,
231,624.0,,255.0,979.0,,70.0,,,127.0,,,164.0,,,269.0,,,,,,
232,222.0,,694.0,,,93.0,,,383.0,,,352.0,1081.0,,980.0,,,,,,
233,,,252.0,,,596.0,,,1098.0,755.0,,101.0,,,697.0,,,,,,
234,415.0,,55.0,1111.0,,331.0,,,158.0,838.0,,519.0,,,411.0,,,811.0,,,
235,,,389.0,,,313.0,,,64.0,,,279.0,,,641.0,,,,,,
236,,,304.0,,,59.0,1135.0,,78.0,,,936.0,,,183.0,,,,,,
237,982.0,,383.0,,,215.0,,,462.0,368.0,,376.0,,,1180.0,,,882.0,,,
238,,,122.0,,,205.0,533.0,,684.0,,,433.0,,,518.0,,,,,,
239,,,295.0,,,304.0,,,186.0,,,507.0,,,1106.0,,,,,,
240,351.0,,34.0,,,217.0,,,32.0,,,574.0,,,82.0,,,,,,
241,,,,932.0,,27.0,,,152.0,,,238.0,,,328.0,,,1042.0,,,
242,274.0,,130.0,,,39.0,757.0,,588.0,,,439.0,,,446.0,,,,,,
243,,,126.0,,,692.0,747.0,,476.0,,,407.0,,,422.0,,,426.0,,,
244,,,93.0,822.0,,235.0,,,42.0,,,358.0,,,305.0,,,,,,
245,,,133.0,,,,,,41.0,,,694.0,,,951.0,,,341.0,,,1009.0
246,,,100.0,818.0,,65.0,496.0,,177.0,322.0,,206.0,,,776.0,,,,,,
247,,,113.0,,,147.0,,,114.0,132.0,,143.0,,,363.0,,,,,,
248,21.0,,34.0,972.0,,33.0,604.0,,46.0,,,613.0,,,729.0,,,1197.0,,,
249,641.0,,36.0,,,127.0,343.0,,215.0,,,648.0,,,549.0,,,,,,
250,,,101.0,273.0,,386.0,,,210.0,1082.0,,407.0,,,900.0,,,,,,
251,1169.0,,416.0,117.0,,543.0,,,59.0,,,542.0,,,318.0,,,800.0,,,917.0
252,1039.0,,62.0,,,54.0,,,205.0,,,471.0,,,531.0,,,,,,
253,721.0,,20.0,,,546.0,,,978.0,,,183.0,,,571.0,,,689.0,,,
254,,,48.0,,,179.0,517.0,,133.0,,,629.0,,,775.0,,,923.0,,,
255,,,782.0,910.0,,292.0,731.0,,202.0,409.0,,145.0,,,495.0,,,,,,
256,376.0,,477.0,,,332.0,303.0,,757.0,,,20.0,,,758.0,,,,,,
257,1113.0,,949.0,,,55.0,,,452.0,,,152.0,,,705.0,,,,,,
258,,,90.0,986.0,,28.0,,,374.0,338.0,,211.0,1004.0,,78.0,,,999.0,,,
259,572.0,,179.0,,,100.0,,,200.0,,,234.0,,,119.0,,,,,,
260,550.0,,118.0,,,53.0,528.0,,143.0,,,36.0,,,791.0,,,,,,
261,,,,,,18.0,1070.0,,164.0,,,244.0,,,1025.0,,,1100.0,,,
262,,,15.0,,,89.0,,,90.0,,,206.0,,,392.0,,,,,,
263,,,15.0,,,220.0,,,265.0,,,567.0,,,330.0,,,1086.0,,,
264,35.0,,182.0,501.0,,571.0,1015.0,,43.0,,,325.0,,,262.0,,,1126.0,,,
265,,,57.0,620.0,,699.0,,,292.0,,,34.0,,,592.0,,,,,,
266,,,157.0,,,191.0,,,79.0,,,306.0,1102.0,,652.0,,,,,,
267,147.0,,539.0,355.0,,49.0,,,391.0,,,421.0,,,461.0,,,,,,
268,,,352.0,813.0,,62.0,847.0,,267.0,,,385.0,,,,,,,,,
269,,,74.0,791.0,,,324.0,,160.0,,,717.0,,,506.0,,,,,,
270,,,169.0,570.0,,364.0,570.0,,489.0,,,225.0,,,681.0,,,,,,
