,type0,type1,type2,type3
408,4.0,5.0,2.0,107.0
409,5.0,79.0,4.0,49.0
410,6.0,26.0,2.0,430.0
411,48.0,44.0,3.0,208.0
412,233.0,2.0,3.0,21.0
413,93.0,6.0,2.0,87.0
414,199.0,4.0,4.0,196.0
415,4.0,29.0,4.0,10.0
416,65.0,20.0,2.0,518.0
417,3.0,57.0,3.0,4.0
418,14.0,49.0,3.0,396.0
419,104.0,85.0,3.0,734.0
420,3.0,119.0,3.0,447.0
421,2.0,120.0,3.0,537.0
422,5.0,5.0,3.0,564.0
423,44.0,38.0,3.0,59.0
424,4.0,4.0,4.0,318.0
425,36.0,5.0,3.0,526.0
426,110.0,153.0,3.0,264.0
427,65.0,12.0,3.0,346.0
428,3.0,25.0,3.0,27.0
429,4.0,4.0,3.0,4.0
430,2.0,82.0,3.0,510.0
431,5.0,5.0,4.0,2.0
432,5.0,45.0,2.0,122.0
433,3.0,51.0,2.0,4.0
434,63.0,3.0,2.0,460.0
435,7.0,78.0,3.0,130.0
436,56.0,36.0,2.0,27.0
437,10.0,218.0,3.0,314.0
438,16.0,25.0,4.0,238.0
439,199.0,3.0,2.0,3.0
440,82.0,98.0,4.0,1106.0
441,6.0,3.0,3.0,118.0
442,25.0,83.0,3.0,5.0
443,33.0,1.0,3.0,427.0
444,5.0,35.0,3.0,591.0
445,4.0,96.0,3.0,1.0
446,6.0,11.0,2.0,599.0
447,185.0,6.0,4.0,340.0
448,142.0,3.0,5.0,10.0
449,11.0,5.0,3.0,568.0
450,3.0,33.0,3.0,217.0
451,89.0,3.0,4.0,2.0
452,3.0,4.0,2.0,719.0
453,5.0,2.0,2.0,373.0
454,203.0,35.0,3.0,17.0
455,91.0,95.0,3.0,313.0
456,8.0,11.0,2.0,4.0
457,82.0,4.0,2.0,72.0
458,177.0,297.0,4.0,529.0
459,143.0,121.0,3.0,342.0
460,101.0,26.0,4.0,8.0
461,15.0,12.0,4.0,281.0
462,4.0,4.0,4.0,155.0
463,83.0,47.0,2.0,190.0
464,5.0,266.0,3.0,425.0
465,79.0,47.0,3.0,180.0
466,11.0,11.0,2.0,54.0
467,4.0,8.0,3.0,63.0
468,17.0,12.0,3.0,105.0
469,9.0,3.0,10.0,248.0
470,5.0,5.0,3.0,24.0
471,1.0,3.0,4.0,523.0
472,22.0,31.0,3.0,270.0
473,4.0,41.0,2.0,768.0
474,10.0,3.0,3.0,44.0
475,5.0,3.0,3.0,554.0
476,5.0,5.0,3.0,92.0
477,4.0,4.0,4.0,793.0
478,4.0,3.0,3.0,3.0
479,6.0,5.0,3.0,67.0
480,32.0,107.0,1.0,312.0
481,25.0,5.0,4.0,156.0
482,180.0,11.0,3.0,225.0
483,29.0,53.0,3.0,478.0
484,89.0,4.0,1.0,753.0
485,29.0,35.0,4.0,552.0
486,47.0,4.0,3.0,558.0
487,12.0,279.0,3.0,2.0
488,187.0,2.0,5.0,285.0
489,3.0,27.0,3.0,373.0
490,4.0,45.0,2.0,731.0
491,81.0,132.0,3.0,226.0
492,24.0,5.0,4.0,2.0
493,125.0,4.0,3.0,278.0
494,4.0,12.0,3.0,393.0
495,69.0,4.0,3.0,419.0
496,23.0,16.0,3.0,13.0
497,4.0,46.0,4.0,829.0
498,143.0,30.0,4.0,463.0
499,8.0,54.0,4.0,205.0
500,3.0,2.0,3.0,186.0
501,3.0,20.0,3.0,15.0
502,64.0,5.0,1.0,319.0
503,61.0,22.0,3.0,879.0
504,64.0,2.0,5.0,45.0
505,4.0,10.0,4.0,95.0
506,3.0,102.0,2.0,582.0
507,10.0,7.0,3.0,340.0
508,4.0,12.0,3.0,252.0
509,2.0,29.0,4.0,46.0
510,4.0,5.0,3.0,290.0
511,2.0,156.0,3.0,402.0
512,7.0,3.0,3.0,1.0
513,68.0,3.0,2.0,315.0
514,63.0,18.0,4.0,354.0
515,72.0,70.0,3.0,2.0
516,79.0,37.0,2.0,36.0
517,6.0,5.0,3.0,454.0
518,7.0,49.0,4.0,145.0
519,2.0,36.0,3.0,226.0
520,3.0,102.0,3.0,440.0
521,4.0,22.0,3.0,20.0
522,4.0,7.0,2.0,191.0
523,10.0,93.0,4.0,40.0
524,5.0,14.0,1.0,137.0
525,281.0,91.0,3.0,841.0
526,4.0,2.0,3.0,517.0
527,23.0,9.0,2.0,688.0
528,18.0,3.0,4.0,29.0
529,16.0,41.0,3.0,527.0
530,3.0,33.0,3.0,330.0
531,4.0,4.0,4.0,27.0
532,72.0,3.0,3.0,43.0
533,2.0,5.0,3.0,457.0
534,2.0,12.0,2.0,31.0
535,4.0,78.0,2.0,617.0
536,43.0,266.0,3.0,141.0
537,5.0,20.0,2.0,384.0
538,4.0,25.0,5.0,699.0
539,28.0,215.0,2.0,578.0
540,3.0,321.0,3.0,37.0
541,23.0,99.0,2.0,402.0
542,3.0,3.0,4.0,773.0
543,106.0,16.0,2.0,3.0
544,96.0,41.0,2.0,231.0
545,4.0,6.0,3.0,403.0
546,39.0,25.0,3.0,232.0
547,4.0,3.0,3.0,238.0
548,3.0,4.0,3.0,447.0
549,134.0,2.0,3.0,19.0
550,26.0,4.0,5.0,24.0
551,32.0,152.0,4.0,905.0
552,12.0,46.0,4.0,603.0
553,21.0,6.0,3.0,8.0
554,48.0,186.0,3.0,559.0
555,55.0,5.0,3.0,554.0
556,6.0,3.0,5.0,70.0
557,3.0,4.0,2.0,276.0
558,60.0,37.0,2.0,321.0
559,16.0,5.0,3.0,182.0
560,17.0,5.0,4.0,19.0
561,78.0,3.0,3.0,74.0
562,58.0,6.0,2.0,209.0
563,199.0,8.0,3.0,233.0
564,71.0,74.0,3.0,1.0
565,15.0,29.0,4.0,975.0
566,94.0,6.0,2.0,220.0
567,4.0,13.0,2.0,808.0
568,8.0,29.0,2.0,301.0
569,4.0,34.0,3.0,647.0
570,130.0,82.0,3.0,395.0
571,21.0,97.0,3.0,1.0
572,4.0,40.0,2.0,663.0
573,8.0,92.0,1.0,665.0
574,3.0,3.0,4.0,314.0
575,2.0,75.0,3.0,92.0
576,2.0,28.0,4.0,93.0
