,type0,type1,type2,type3
1047,,62.0,,97.0
1048,,,,45.0
1049,,,,118.0
1050,285.0,,,147.0
1051,,,,44.0
1052,455.0,,,196.0
1053,,,,60.0
1054,,,,255.0
1055,274.0,,,39.0
1056,48.0,,,70.0
1057,,,,160.0
1058,,101.0,,22.0
1059,,,,95.0
1060,655.0,,,100.0
1061,421.0,79.0,,118.0
1062,317.0,,,75.0
1063,185.0,148.0,,92.0
1064,59.0,,,45.0
1065,,418.0,,
1066,,,,199.0
1067,,,,117.0
1068,230.0,,,20.0
1069,,,,27.0
1070,,,,130.0
1071,,,,61.0
1072,303.0,,,63.0
1073,,,,128.0
1074,,,,
1075,216.0,,,59.0
1076,,,,81.0
1077,,,,100.0
1078,,,,78.0
1079,,,,78.0
1080,,,,236.0
1081,255.0,,,54.0
1082,36.0,,,349.0
1083,126.0,168.0,,75.0
1084,,,,194.0
1085,,,,
1086,,,,32.0
1087,159.0,,,132.0
1088,436.0,,,24.0
1089,,,,40.0
1090,,1198.0,,29.0
1091,,,,329.0
1092,,,,47.0
1093,,,,49.0
1094,,,,
1095,,415.0,,151.0
1096,295.0,,,114.0
1097,,,,116.0
1098,,,,72.0
1099,,131.0,,
1100,,,,79.0
1101,,102.0,,110.0
1102,210.0,,,49.0
1103,,,,89.0
1104,156.0,,,76.0
1105,228.0,,,25.0
1106,,382.0,,316.0
1107,,,,
1108,,,,179.0
1109,,35.0,,126.0
1110,,,,56.0
1111,,,,109.0
1112,107.0,,,22.0
1113,,307.0,,
1114,,408.0,,112.0
1115,,,,249.0
1116,,,,112.0
1117,,,,209.0
1118,,,,
1119,,345.0,,118.0
1120,88.0,,,87.0
1121,,,,66.0
1122,35.0,298.0,,33.0
1123,,,,112.0
1124,293.0,,,118.0
1125,,452.0,,29.0
1126,270.0,,,103.0
1127,,475.0,,129.0
1128,,,,85.0
1129,117.0,,,35.0
1130,,,,89.0
1131,,,,46.0
1132,,,,171.0
1133,,,,94.0
1134,,193.0,,
1135,258.0,,,178.0
1136,,,,210.0
1137,38.0,,,128.0
1138,,,,112.0
1139,,,,73.0
1140,,193.0,,108.0
1141,,,,231.0
1142,224.0,,,49.0
1143,,192.0,,81.0
1144,,,,
1145,,200.0,,85.0
1146,,,,114.0
1147,,,,311.0
1148,,,,130.0
1149,266.0,,,
1150,206.0,,,66.0
1151,,440.0,,102.0
1152,,,,53.0
1153,,181.0,,97.0
1154,,399.0,,36.0
1155,544.0,,,205.0
1156,,138.0,,
1157,,,,
1158,,,,141.0
1159,354.0,,,24.0
1160,,,,39.0
1161,,,,36.0
1162,204.0,,,310.0
1163,77.0,526.0,,164.0
1164,122.0,,,165.0
1165,,,,73.0
1166,385.0,250.0,,45.0
1167,,,,80.0
1168,155.0,,,197.0
1169,55.0,,,42.0
1170,154.0,,,40.0
1171,,,,99.0
1172,,286.0,,
1173,391.0,,,153.0
1174,,,,
1175,542.0,,,
1176,,,,86.0
1177,,,,59.0
1178,,,,176.0
1179,,99.0,,47.0
1180,,300.0,,26.0
1181,,,,
1182,,,,329.0
1183,,,,
1184,,227.0,,
1185,,607.0,,51.0
1186,424.0,,,
1187,232.0,,,80.0
1188,,,,36.0
1189,,504.0,,
1190,65.0,,,55.0
1191,,58.0,,59.0
1192,,,,
1193,166.0,,,
1194,,,,
1195,349.0,,,222.0
1196,167.0,,,46.0
1197,476.0,,,67.0
1198,185.0,,,30.0
1199,145.0,221.0,,287.0
1200,110.0,45.0,,55.0
